sample_id,timestamp,Label,Max_Amplitude,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64
1,0,Fake,3370,106,208,312,384,511,607,585,803,1057,1018,1118,1202,1335,1387,1503,1614,1712,1817,1934,2002,2108,2153,2298,2412,2490,2758,2537,2803,2907,2983,3037,3216,3370,3184,3008,2933,2787,2703,2559,2460,2334,2210,2096,1997,1821,1793,1680,1605,1397,1369,1252,1151,1072,954,848,727,624,540,434,341,211,126,104,0
2,0,Fake,3263,65,117,219,321,421,528,631,729,831,935,1042,1136,1231,1330,1434,1528,1651,1744,1834,1931,2032,2137,2240,2323,2415,2509,2625,2723,2813,2918,3026,3157,3263,3097,2960,2833,2734,2613,2486,2382,2268,2176,2064,1946,1841,1731,1633,1521,1408,1306,1202,1100,989,881,778,683,577,480,378,281,185,85,0,0
3,0,Fake,3194,15,66,174,304,330,511,610,708,834,912,1020,1149,1191,1329,1407,1513,1597,1675,1821,1872,1999,1839,2192,2306,2399,2503,2643,2733,2770,2894,3001,3136,3194,3024,2940,2736,2685,2559,2452,2394,2254,2155,2039,1882,1815,1712,1621,1520,1408,1283,1230,1059,1089,848,734,701,511,462,335,250,128,48,0,0
4,0,Fake,3213,0,80,192,286,350,439,645,685,832,765,987,1095,1210,1299,1422,1499,1610,1713,1795,1907,1999,2074,2211,2445,2442,2460,2592,2682,2793,2896,2990,3115,3213,3071,2939,2802,2688,2559,2224,2367,2128,2059,2059,1834,1787,1712,1598,1487,1345,1271,1179,1083,906,805,752,649,576,435,304,268,158,15,0,0
5,0,Fake,3138,0,95,159,201,363,497,613,700,785,895,990,1096,1138,1288,1397,1456,1585,1701,1912,1890,1908,2123,2151,2261,2416,2480,2582,2659,2782,2867,2988,3109,3138,3036,2916,2780,2688,2596,2443,2315,2237,2230,2026,1904,1802,1699,1594,1471,1374,1275,1189,1054,990,828,770,681,561,399,257,230,140,42,0,0
6,0,Fake,3203,0,64,167,272,379,471,581,677,784,882,982,1087,1195,1284,1385,1488,1602,1699,1783,1883,1978,2083,2185,2264,2368,2462,2559,2672,2773,2866,2971,3081,3203,3052,2906,2778,2673,2559,2444,2337,2214,2112,2013,1904,1789,1685,1583,1472,1366,1253,1148,1045,944,835,733,635,532,432,336,228,135,37,0,0
7,0,Fake,3168,0,12,176,267,434,421,583,671,771,852,973,1056,1187,1302,1407,1481,1744,1669,1893,1872,2086,2081,2124,2291,2374,2463,2559,2651,2766,2868,2969,3102,3168,3070,2913,2970,2614,2544,2455,2320,2217,2111,1999,1912,1799,1659,1568,1425,1360,1251,1142,987,853,871,799,630,545,422,323,206,158,51,0,0
8,0,Fake,3173,0,66,150,269,372,462,571,705,778,831,964,1017,1187,1305,1435,1459,1535,1865,1779,1851,1872,2070,2166,2271,2378,2478,2555,2640,2709,2867,2960,3082,3173,3010,2839,2823,2672,2513,2435,2326,2203,2099,2065,1914,1726,1636,1591,1450,1307,1248,1040,979,862,673,715,623,511,444,299,208,116,45,0,0
9,0,Fake,3152,0,80,144,253,349,466,545,671,777,823,966,1072,1122,1243,1366,1489,1721,1776,1799,1867,1970,2069,2176,2226,2337,2469,2544,2629,2771,2843,2987,2953,3152,2992,2927,2761,2666,2544,2431,2314,2197,2106,2001,1821,1766,1662,1535,1457,1281,1184,1155,1023,922,816,726,617,527,401,298,237,113,14,0,0
10,0,Fake,3173,0,37,145,252,351,447,558,657,755,848,957,1057,1168,1265,1361,1458,1564,1674,1773,1863,1953,2054,2161,2261,2346,2439,2544,2655,2749,2846,2949,3047,3173,3024,2887,2764,2654,2526,2429,2305,2205,2096,1983,1873,1776,1663,1535,1447,1337,1237,1119,1015,912,814,711,611,498,400,305,213,112,16,0,0
